Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
101300.0           ,202600.0           , 100.0              , 50.0              ,101300.0           ,-50.0               ,-0.0004935834155972359 ,-0.0005484260173302621
102827.13567839196 ,205654.27135678392 , 104.52261306532664 , 52.26130653266332 ,102827.13567839196 ,-52.26130653266332  ,-0.0005082443091298271 ,-0.0005647158990331413
104354.27135678392 ,208708.54271356785 , 109.04522613065326 , 54.52261306532663 ,104354.27135678392 ,-54.52261306532663  ,-0.0005224761033395131 ,-0.0005805290037105701
105881.40703517589 ,211762.81407035177 , 113.5678391959799  , 56.78391959798995 ,105881.40703517589 ,-56.78391959798995  ,-0.0005362973650239198 ,-0.0005958859611376886
107408.54271356783 ,214817.08542713567 , 118.09045226130652 , 59.04522613065326 ,107408.54271356783 ,-59.04522613065326  ,-0.0005497256050490542 ,-0.0006108062278322824
108935.6783919598  ,217871.3567839196  , 122.61306532663316 , 61.30653266331658 ,108935.6783919598  ,-61.30653266331658  ,-0.0005627773523632036 ,-0.0006253081692924484
110462.81407035176 ,220925.6281407035  , 127.1356783919598  , 63.5678391959799  ,110462.81407035176 ,-63.5678391959799   ,-0.0005754682218714318 ,-0.0006394091354127021
111989.94974874372 ,223979.89949748744 , 131.65829145728642 , 65.82914572864321 ,111989.94974874372 ,-65.82914572864321  ,-0.0005878129767567082 ,-0.0006531255297296759
113517.08542713568 ,227034.17085427136 , 136.18090452261305 , 68.09045226130652 ,113517.08542713568 ,-68.09045226130652  ,-0.0005998255857706319 ,-0.0006664728730784799
115044.22110552764 ,230088.44221105528 , 140.7035175879397  , 70.35175879396985 ,115044.22110552764 ,-70.35175879396985  ,-0.0006115192759611772 ,-0.0006794658621790858
116571.3567839196  ,233142.7135678392  , 145.22613065326632 , 72.61306532663316 ,116571.3567839196  ,-72.61306532663316  ,-0.0006229065812559003 ,-0.000692118423617667
118098.49246231155 ,236196.9849246231  , 149.74874371859295 , 74.87437185929647 ,118098.49246231155 ,-74.87437185929647  ,-0.00063399938727576   ,-0.0007044437636397333
119625.62814070351 ,239251.25628140703 , 154.2713567839196  , 77.1356783919598  ,119625.62814070351 ,-77.1356783919598   ,-0.0006448089727163891 ,-0.0007164544141293213
121152.76381909547 ,242305.52763819095 , 158.79396984924622 , 79.39698492462311 ,121152.76381909547 ,-79.39698492462311  ,-0.0006553460475996913 ,-0.0007281622751107682
122679.89949748744 ,245359.79899497487 , 163.31658291457285 , 81.65829145728642 ,122679.89949748744 ,-81.65829145728642  ,-0.0006656207886684716 ,-0.0007395786540760796
