Pi (Pa)            ,Pf (Pa)            ,Vi (m³)             ,Vf (m³)            ,ΔP (Pa)            ,ΔV (m³)             ,C = ΔV / ΔP (m⁴·s²/kg) ,Cr = (ΔV / ΔP)*(1/Z) (m⁴·s²/kg)
101300.0,202600.0,100.0,50.0,101300.0,-50.0,-0.00049,-0.00055
102827.14,205654.27,104.52,52.26,102827.14,-52.26,-0.00051,-0.00056
104354.27,208708.54,109.05,54.52,104354.27,-54.52,-0.00052,-0.00058
105881.41,211762.81,113.57,56.78,105881.41,-56.78,-0.00054,-0.0006
107408.54,214817.09,118.09,59.05,107408.54,-59.05,-0.00055,-0.00061
108935.68,217871.36,122.61,61.31,108935.68,-61.31,-0.00056,-0.00063
110462.81,220925.63,127.14,63.57,110462.81,-63.57,-0.00058,-0.00064
111989.95,223979.9,131.66,65.83,111989.95,-65.83,-0.00059,-0.00065
113517.09,227034.17,136.18,68.09,113517.09,-68.09,-0.0006,-0.00067
115044.22,230088.44,140.7,70.35,115044.22,-70.35,-0.00061,-0.00068
116571.36,233142.71,145.23,72.61,116571.36,-72.61,-0.00062,-0.00069
118098.49,236196.98,149.75,74.87,118098.49,-74.87,-0.00063,-0.0007
119625.63,239251.26,154.27,77.14,119625.63,-77.14,-0.00064,-0.00072
121152.76,242305.53,158.79,79.4,121152.76,-79.4,-0.00066,-0.00073
122679.9,245359.8,163.32,81.66,122679.9,-81.66,-0.00067,-0.00074
124207.04,248414.07,167.84,83.92,124207.04,-83.92,-0.00068,-0.00075
125734.17,251468.34,172.36,86.18,125734.17,-86.18,-0.00069,-0.00076
127261.31,254522.61,176.88,88.44,127261.31,-88.44,-0.00069,-0.00077
128788.44,257576.88,181.41,90.7,128788.44,-90.7,-0.0007,-0.00078
130315.58,260631.16,185.93,92.96,130315.58,-92.96,-0.00071,-0.00079
131842.71,263685.43,190.45,95.23,131842.71,-95.23,-0.00072,-0.0008
133369.85,266739.7,194.97,97.49,133369.85,-97.49,-0.00073,-0.00081
134896.98,269793.97,199.5,99.75,134896.98,-99.75,-0.00074,-0.00082
136424.12,272848.24,204.02,102.01,136424.12,-102.01,-0.00075,-0.00083
137951.26,275902.51,208.54,104.27,137951.26,-104.27,-0.00076,-0.00084
139478.39,278956.78,213.07,106.53,139478.39,-106.53,-0.00076,-0.00085
141005.53,282011.06,217.59,108.79,141005.53,-108.79,-0.00077,-0.00086
142532.66,285065.33,222.11,111.06,142532.66,-111.06,-0.00078,-0.00087
144059.8,288119.6,226.63,113.32,144059.8,-113.32,-0.00079,-0.00087
